HSCode,Commodity,Value,Date
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,2.71,1/1/2013
38,MISCELLANEOUS CHEMICAL PRODUCTS.,244.8,1/1/2013
39,PLASTIC AND ARTICLES THEREOF.,411.41,1/1/2013
40,RUBBER AND ARTICLES THEREOF.,226.25,1/1/2013
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,83.57,1/1/2013
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",196.18,1/1/2013
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.03,1/1/2013
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,30.84,1/1/2013
45,CORK AND ARTICLES OF CORK.,0.09,1/1/2013
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.17,1/1/2013
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.01,1/1/2013
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",76.8,1/1/2013
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",36.98,1/1/2013
50,SILK,12.58,1/1/2013
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",11.84,1/1/2013
52,COTTON.,"1,226.97",1/1/2013
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,23.99,1/1/2013
54,MAN-MADE FILAMENTS.,170.19,1/1/2013
55,MAN-MADE STAPLE FIBRES.,153.91,1/1/2013
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",29.43,1/1/2013
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,123.89,1/1/2013
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,27.4,1/1/2013
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",16.45,1/1/2013
60,KNITTED OR CROCHETED FABRICS.,18.3,1/1/2013
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",500.94,1/1/2013
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",739.22,1/1/2013
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,361.8,1/1/2013
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",203.65,1/1/2013
65,HEADGEAR AND PARTS THEREOF.,3.17,1/1/2013
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.12,1/1/2013
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,28.17,1/1/2013
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",90.67,1/1/2013
69,CERAMIC PRODUCTS.,38.2,1/1/2013
70,GLASS AND GLASSWARE.,47.54,1/1/2013
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.","3,567.18",1/1/2013
72,IRON AND STEEL,679.17,1/1/2013
73,ARTICLES OF IRON OR STEEL,574.12,1/1/2013
74,COPPER AND ARTICLES THEREOF.,270.51,1/1/2013
75,NICKEL AND ARTICLES THEREOF.,38.68,1/1/2013
76,ALUMINIUM AND ARTICLES THEREOF.,130.81,1/1/2013
78,LEAD AND ARTICLES THEREOF.,13.03,1/1/2013
79,ZINC AND ARTICLES THEREOF.,40.88,1/1/2013
80,TIN AND ARTICLES THEREOF.,0.52,1/1/2013
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,5.36,1/1/2013
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",66.87,1/1/2013
83,MISCELLANEOUS ARTICLES OF BASE METAL.,38.01,1/1/2013
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",896.28,1/1/2013
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",791.99,1/1/2013
