Date,HSCode,Commodity_x,Import_Value,Commodity_y,Export_Value
2007-02-01,17,SUGARS AND SUGAR CONFECTIONERY.,2.49,SUGARS AND SUGAR CONFECTIONERY.,57.43
2007-02-01,18,COCOA AND COCOA PREPARATIONS.,4.96,COCOA AND COCOA PREPARATIONS.,0.78
2007-02-01,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.25,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",13.99
2007-02-01,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.47,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",14.38
2007-02-01,21,MISCELLANEOUS EDIBLE PREPARATIONS.,2.16,MISCELLANEOUS EDIBLE PREPARATIONS.,19.29
2007-02-01,22,"BEVERAGES, SPIRITS AND VINEGAR.",6.9,"BEVERAGES, SPIRITS AND VINEGAR.",4.49
2007-02-01,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,5.75,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,178.36
2007-02-01,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.99,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,30.25
2007-02-01,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",69.84,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",88.32
2007-02-01,26,"ORES, SLAG AND ASH.",434.95,"ORES, SLAG AND ASH.",487.77
2007-02-01,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",4890.84,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1290.59
2007-02-01,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",215.31,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",68.67
2007-02-01,29,ORGANIC CHEMICALS,512.24,ORGANIC CHEMICALS,522.77
2007-02-01,30,PHARMACEUTICAL PRODUCTS,74.37,PHARMACEUTICAL PRODUCTS,269.1
2007-02-01,31,FERTILISERS.,147.83,FERTILISERS.,0.73
2007-02-01,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",48.76,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",89.26
2007-02-01,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",16.37,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",44.26
